,대분류,중분류,소분류,그램당당류,1회제공량,용량단위
0,과자,기성품,견과류,0.232,80.0,g
1,과자,기성품,곡류,0.18,80.0,g
2,과자,기성품,과일,0.236,60.0,g
3,과자,기성품,기타,0.2,100.0,g
4,과자,기성품,버터,0.185,70.0,g
5,과자,기성품,야채,0.142,90.0,g
6,과자,기성품,오레오,0.39,80.0,g
7,과자,기성품,차,0.295,50.0,g
8,과자,기성품,초코,0.286,80.0,g
9,과자,기성품,치즈,0.137,70.0,g
10,과자,기성품,카라멜,0.272,70.0,g
11,과자,기성품,크래커,0.186,80.0,g
12,과자,시리얼,견과류,0.24,30.0,g
13,과자,시리얼,곡류,0.231,30.0,g
14,과자,시리얼,과일,0.4,30.0,g
15,과자,시리얼,기타,0.283,40.0,g
16,과자,시리얼,믹스,0.293,30.0,g
17,과자,시리얼,일반,0.286,30.0,g
18,과자,시리얼,초코,0.353,30.0,g
19,과자,시리얼,쿠키,0.4,30.0,g
20,과자,전통과자,월병,0.275,120.0,g
21,과자,전통과자,전병,0.369,90.0,g
22,과자,쿠키,견과류,0.238,70.0,g
23,과자,쿠키,곡류,0.22,100.0,g
24,과자,쿠키,과일,0.253,70.0,g
25,과자,쿠키,기타,0.262,90.0,g
26,과자,쿠키,머랭,0.569,40.0,g
27,과자,쿠키,모나카,0.416,70.0,g
28,과자,쿠키,버터,0.284,110.0,g
29,과자,쿠키,비스킷,0.238,100.0,g
30,과자,쿠키,야채,0.22,60.0,g
31,과자,쿠키,오레오,0.398,70.0,g
32,과자,쿠키,차,0.23,80.0,g
33,과자,쿠키,초코,0.278,70.0,g
34,과자,쿠키,치즈,0.192,70.0,g
35,과자,쿠키,카라멜,0.272,100.0,g
36,과자,파이,기성품,0.195,80.0,g
37,과자,팝콘,갈릭,0.096,70.0,g
38,과자,팝콘,과일,0.33,50.0,g
39,과자,팝콘,기타,0.292,90.0,g
40,과자,팝콘,버터,0.312,60.0,g
41,과자,팝콘,솔트,0.267,200.0,g
42,과자,팝콘,인절미,0.183,120.0,g
43,과자,팝콘,초콜릿,0.41,40.0,g
44,과자,팝콘,치즈,0.26,60.0,g
45,과자,팝콘,카라멜,0.349,100.0,g
46,과자,팝콘,콘소메,0.036,110.0,g
47,"떡, 견과류",견과류,기타,0.155,100.0,g
48,"떡, 견과류",견과류,땅콩,0.214,90.0,g
49,"떡, 견과류",견과류,마카다미아,0.104,100.0,g
50,"떡, 견과류",견과류,아몬드,0.388,100.0,g
51,"떡, 견과류",견과류,파우더,0.091,100.0,g
52,"떡, 견과류",견과류,피스타치오,0.064,100.0,g
53,"떡, 견과류",견과류,호두,0.112,80.0,g
54,"떡, 견과류",떡,기타,0.098,210.0,g
55,"떡, 견과류",떡,모찌,0.31,100.0,g
56,"떡, 견과류",떡,찹쌀,0.106,70.0,g
57,"떡, 견과류",떡,치즈,0.057,520.0,g
58,베이커리,간식빵,감자,0.06,50.0,g
59,베이커리,간식빵,경주,0.493,50.0,g
60,베이커리,간식빵,고구마,0.218,50.0,g
61,베이커리,간식빵,고로케,0.051,50.0,g
62,베이커리,간식빵,깨찰,0.08,50.0,g
63,베이커리,간식빵,꽈배기,0.138,50.0,g
64,베이커리,간식빵,도넛,0.188,50.0,g
65,베이커리,간식빵,롤,0.163,50.0,g
66,베이커리,간식빵,만쥬,0.271,50.0,g
67,베이커리,간식빵,맘모스,0.217,50.0,g
68,베이커리,간식빵,매화,0.443,50.0,g
69,베이커리,간식빵,메론,0.185,50.0,g
70,베이커리,간식빵,모카빵,0.122,50.0,g
71,베이커리,간식빵,밀,0.088,50.0,g
72,베이커리,간식빵,밤,0.192,50.0,g
73,베이커리,간식빵,번,0.094,50.0,g
74,베이커리,간식빵,볼,0.157,50.0,g
75,베이커리,간식빵,붕어빵,0.179,50.0,g
76,베이커리,간식빵,브레드,0.126,50.0,g
77,베이커리,간식빵,샌드,0.127,50.0,g
78,베이커리,간식빵,소라,0.175,50.0,g
79,베이커리,간식빵,소보로,0.176,50.0,g
80,베이커리,간식빵,소시지빵,0.084,50.0,g
81,베이커리,간식빵,슈,0.117,50.0,g
82,베이커리,간식빵,스콘,0.137,50.0,g
83,베이커리,간식빵,쌀빵,0.105,50.0,g
84,베이커리,간식빵,앙금,0.171,50.0,g
85,베이커리,간식빵,에그데니쉬,0.103,50.0,g
86,베이커리,간식빵,유자,0.234,50.0,g
87,베이커리,간식빵,찐빵,0.127,50.0,g
88,베이커리,간식빵,찰떡,0.149,50.0,g
89,베이커리,간식빵,찰보리빵,0.181,50.0,g
90,베이커리,간식빵,치즈번,0.155,50.0,g
91,베이커리,간식빵,치즈빵,0.106,50.0,g
92,베이커리,간식빵,카스타드,0.225,50.0,g
93,베이커리,간식빵,카스테라,0.294,50.0,g
94,베이커리,간식빵,커피,0.226,50.0,g
95,베이커리,간식빵,크레페,0.25,50.0,g
96,베이커리,간식빵,크루와상,0.098,50.0,g
97,베이커리,간식빵,크림빵,0.154,50.0,g
98,베이커리,간식빵,타르트,0.172,50.0,g
99,베이커리,간식빵,통밀,0.085,50.0,g
100,베이커리,간식빵,트위스트,0.185,50.0,g
101,베이커리,간식빵,파니니,0.042,50.0,g
102,베이커리,간식빵,팥빵,0.169,50.0,g
103,베이커리,간식빵,페스츄리,0.089,50.0,g
104,베이커리,간식빵,프레즐,0.075,50.0,g
105,베이커리,간식빵,피자,0.063,50.0,g
106,베이커리,간식빵,호빵,0.15,50.0,g
107,베이커리,간식빵,효모빵,0.068,50.0,g
108,베이커리,디저트,까눌레,0.259,50.0,g
109,베이커리,디저트,다쿠아즈,0.356,50.0,g
110,베이커리,디저트,마들렌,0.263,50.0,g
111,베이커리,디저트,마카롱,0.377,50.0,g
112,베이커리,디저트,머핀,0.223,50.0,g
113,베이커리,디저트,모나카,0.393,50.0,g
114,베이커리,디저트,무스,0.201,50.0,g
115,베이커리,디저트,브라우니,0.292,50.0,g
116,베이커리,디저트,빨미까레,0.18,50.0,g
117,베이커리,디저트,쇼콜라,0.2,50.0,g
118,베이커리,디저트,수플레,0.148,50.0,g
119,베이커리,디저트,앙버터,0.141,50.0,g
120,베이커리,디저트,와플,0.194,50.0,g
121,베이커리,디저트,크럼블,0.159,50.0,g
122,베이커리,디저트,크로플,0.112,50.0,g
123,베이커리,디저트,티라미수,0.186,50.0,g
124,베이커리,디저트,파이,0.171,50.0,g
125,베이커리,디저트,팬케이크,0.229,50.0,g
126,베이커리,디저트,허니브레드,0.078,50.0,g
127,베이커리,디저트,호떡,0.186,50.0,g
128,베이커리,디저트,휘낭시에,0.318,50.0,g
129,베이커리,샌드위치,샌드위치,0.057,170.0,g
130,베이커리,식사빵,난,0.131,90.0,g
131,베이커리,식사빵,또띠아,0.033,120.0,g
132,베이커리,식사빵,모닝빵,0.078,90.0,g
133,베이커리,식사빵,바게뜨,0.04,200.0,g
134,베이커리,식사빵,바게트,0.1,110.0,g
135,베이커리,식사빵,베이글,0.076,110.0,g
136,베이커리,식사빵,스틱,0.267,90.0,g
137,베이커리,식사빵,식빵,0.076,130.0,g
138,베이커리,식사빵,토스트,0.088,120.0,g
139,베이커리,식사빵,포카챠,0.03,140.0,g
140,베이커리,케이크,가나슈,0.218,120.0,g
141,베이커리,케이크,고구마,0.154,150.0,g
142,베이커리,케이크,과일,0.239,160.0,g
143,베이커리,케이크,기타,0.235,140.0,g
144,베이커리,케이크,녹차,0.184,200.0,g
145,베이커리,케이크,당근,0.183,150.0,g
146,베이커리,케이크,레드벨벳,0.16,90.0,g
147,베이커리,케이크,롤,0.257,110.0,g
148,베이커리,케이크,바움쿠헨,0.272,70.0,g
149,베이커리,케이크,생크림,0.206,270.0,g
150,베이커리,케이크,쉬폰,0.211,190.0,g
151,베이커리,케이크,쌀,0.193,80.0,g
152,베이커리,케이크,초콜릿,0.243,150.0,g
153,베이커리,케이크,치즈,0.204,130.0,g
154,베이커리,케이크,파운드,0.242,120.0,g
155,베이커리,케이크,팬케이크,0.2,80.0,g
156,아이스크림,빙과,견과류,0.177,110.0,g
157,아이스크림,빙과,곡류,0.163,180.0,g
158,아이스크림,빙과,과일,0.193,110.0,g
159,아이스크림,빙과,그린티,0.16,150.0,g
160,아이스크림,빙과,기타,0.172,110.0,g
161,아이스크림,빙과,소다,0.147,100.0,g
162,아이스크림,빙과,야채,0.168,140.0,g
163,아이스크림,빙과,오레오,0.182,90.0,g
164,아이스크림,빙과,요거트,0.206,100.0,g
165,아이스크림,빙과,초코,0.192,120.0,g
166,아이스크림,빙과,카라멜,0.15,120.0,g
167,아이스크림,빙수,곡류,0.131,500.0,g
168,아이스크림,빙수,과일,0.139,590.0,g
169,아이스크림,빙수,그린티,0.138,660.0,g
170,아이스크림,빙수,기타,0.11,560.0,g
171,아이스크림,빙수,밀크,0.158,550.0,g
172,아이스크림,빙수,오레오,0.15,680.0,g
173,아이스크림,빙수,요거트,0.141,550.0,g
174,아이스크림,빙수,초코,0.135,540.0,g
175,아이스크림,빙수,커피,0.087,550.0,g
176,아이스크림,빙수,팥,0.13,500.0,g
177,아이스크림,샤베트,고구마,0.191,80.0,g
178,아이스크림,샤베트,곡류,0.203,100.0,g
179,아이스크림,샤베트,과일,0.175,100.0,g
180,아이스크림,샤베트,그린티,0.105,140.0,g
181,아이스크림,샤베트,기타,0.171,120.0,g
182,아이스크림,샤베트,밀크,0.138,210.0,g
183,아이스크림,샤베트,바닐라,0.12,110.0,g
184,아이스크림,샤베트,요거트,0.183,120.0,g
185,아이스크림,샤베트,초코,0.17,120.0,g
186,아이스크림,샤베트,카라멜,0.156,100.0,g
187,아이스크림,샤베트,커피,0.163,70.0,g
188,아이스크림,샤베트,팥,0.223,130.0,g
189,아이스크림,유지방아이스크림,견과류,0.162,120.0,g
190,아이스크림,유지방아이스크림,고구마,0.147,130.0,g
191,아이스크림,유지방아이스크림,곡류,0.146,110.0,g
192,아이스크림,유지방아이스크림,과일,0.192,110.0,g
193,아이스크림,유지방아이스크림,그린티,0.167,110.0,g
194,아이스크림,유지방아이스크림,기타,0.177,120.0,g
195,아이스크림,유지방아이스크림,밀크,0.156,120.0,g
196,아이스크림,유지방아이스크림,바닐라,0.149,170.0,g
197,아이스크림,유지방아이스크림,쑥,0.112,130.0,g
198,아이스크림,유지방아이스크림,오레오,0.186,130.0,g
199,아이스크림,유지방아이스크림,요거트,0.173,120.0,g
200,아이스크림,유지방아이스크림,초코,0.176,120.0,g
201,아이스크림,유지방아이스크림,치즈,0.174,120.0,g
202,아이스크림,유지방아이스크림,카라멜,0.187,110.0,g
203,아이스크림,유지방아이스크림,커피,0.159,110.0,g
204,아이스크림,유지방아이스크림,티라미수,0.182,110.0,g
205,아이스크림,유지방아이스크림,팥,0.231,80.0,g
206,유가공품,발효유,농후발효유,0.087,130.0,ml
207,유가공품,발효유,요거트,0.096,120.0,ml
208,유가공품,발효유,요구르트,0.085,130.0,ml
209,유가공품,우유,강화우유,0.049,170.0,ml
210,유가공품,우유,견과류,0.109,180.0,ml
211,유가공품,우유,곡류,0.087,200.0,ml
212,유가공품,우유,과일,0.102,200.0,ml
213,유가공품,우유,기타우유,0.072,190.0,ml
214,유가공품,우유,녹차,0.098,190.0,ml
215,유가공품,우유,단호박,0.102,250.0,ml
216,유가공품,우유,달고나,0.122,300.0,ml
217,유가공품,우유,유기농,0.051,150.0,ml
218,유가공품,우유,유당분해우유,0.043,130.0,ml
219,유가공품,우유,유산균첨가우유,0.05,180.0,ml
220,유가공품,우유,일반우유,0.049,150.0,ml
221,유가공품,우유,저지방,0.047,160.0,ml
222,유가공품,우유,초코,0.11,210.0,ml
223,유가공품,우유,커피,0.086,240.0,ml
224,유가공품,우유,홍삼,0.059,200.0,ml
225,음료,과/채음료,과일,0.119,200.0,ml
226,음료,과/채음료,분말,0.766,200.0,ml
227,음료,과/채음료,채소,0.079,200.0,ml
228,음료,두유,가공두유,0.042,200.0,ml
229,음료,두유,원액두유,0.022,200.0,ml
230,음료,발효유,기성품,0.1,200.0,ml
231,음료,발효음료,곡물,0.1,200.0,ml
232,음료,발효음료,과일,0.128,200.0,ml
233,음료,발효음료,꽃,0.163,200.0,ml
234,음료,발효음료,채소,0.115,200.0,ml
235,음료,스무디,견과류,0.084,200.0,ml
236,음료,스무디,곡류,0.122,200.0,ml
237,음료,스무디,과일,0.146,200.0,ml
238,음료,스무디,녹차,0.103,200.0,ml
239,음료,스무디,민트,0.092,200.0,ml
240,음료,스무디,요거트,0.137,200.0,ml
241,음료,스무디,채소,0.118,200.0,ml
242,음료,스무디,초콜릿,0.108,200.0,ml
243,음료,스무디,카라멜,0.111,200.0,ml
244,음료,스무디,카카오/바닐라,0.09,200.0,ml
245,음료,스무디,커피,0.07,200.0,ml
246,음료,유제품,견과/곡류,0.036,200.0,ml
247,음료,유제품,과일,0.064,200.0,ml
248,음료,유제품,두유,0.041,200.0,ml
249,음료,유제품,밀크티,0.063,200.0,ml
250,음료,유제품,분말,0.308,200.0,ml
251,음료,유제품,어린이제품,0.058,200.0,ml
252,음료,유제품,우유,0.039,200.0,ml
253,음료,유제품,채소,0.08,200.0,ml
254,음료,유제품,초콜릿,0.1,200.0,ml
255,음료,유제품,커피,0.078,200.0,ml
256,음료,유제품,프로틴,0.059,200.0,ml
257,음료,이온음료,기성품,0.059,200.0,ml
258,음료,인삼/홍삼음료,인삼,0.349,200.0,ml
259,음료,인삼/홍삼음료,홍삼,0.105,200.0,ml
260,음료,차,과/채음료,0.11,200.0,ml
261,음료,차,과/채주스,0.107,200.0,ml
262,음료,차,과일차,0.208,200.0,ml
263,음료,차,기타 음료류,0.108,200.0,ml
264,음료,차,기타발효음료,0.262,200.0,ml
265,음료,차,발효차,0.063,200.0,ml
266,음료,차,분말,0.421,200.0,ml
267,음료,차,액상차,0.068,200.0,ml
268,음료,차,전통차,0.165,200.0,ml
269,음료,차,차류,0.089,200.0,ml
270,음료,차,허브차,0.086,200.0,ml
271,음료,차,혼합음료,0.115,200.0,ml
272,음료,커피류,더치,0.053,200.0,ml
273,음료,커피류,라떼,0.044,200.0,ml
274,음료,커피류,바닐라,0.065,200.0,ml
275,음료,커피류,아메리카노,0.098,200.0,ml
276,음료,커피류,아인슈페너,0.086,200.0,ml
277,음료,커피류,아포가토,0.116,200.0,ml
278,음료,커피류,연유,0.099,200.0,ml
279,음료,커피류,초코,0.088,200.0,ml
280,음료,커피류,카라멜,0.07,200.0,ml
281,음료,커피류,카푸치노,0.03,200.0,ml
282,음료,탄산음료,과일,0.102,200.0,ml
283,음료,탄산음료,기성품,0.097,200.0,ml
284,음료,탄산음료,사이다,0.116,200.0,ml
285,음료,탄산음료,요구르트,0.15,200.0,ml
286,음료,탄산음료,콜라,0.115,200.0,ml
287,음료,활력음료,과일,0.164,200.0,ml
288,음료,활력음료,기성품,0.112,200.0,ml
289,음료,활력음료,분말,0.773,200.0,ml
