,대분류,중분류,소분류,그램당당류,1회제공량,용량단위,단위
0,과자,기성품,감귤과자,0.21,40.0,g,개
1,과자,기성품,고구마과자,0.2,80.0,g,개
2,과자,기성품,기타과자,0.204,90.0,g,개
3,과자,기성품,깨과자,0.222,100.0,g,개
4,과자,기성품,딸기과자,0.266,60.0,g,개
5,과자,기성품,땅콩과자,0.196,70.0,g,개
6,과자,기성품,라즈베리과자,0.321,40.0,g,개
7,과자,기성품,레몬과자,0.377,70.0,g,개
8,과자,기성품,리치과자,0.274,100.0,g,개
9,과자,기성품,마카다미아과자,0.243,90.0,g,개
10,과자,기성품,말차과자,0.29,50.0,g,개
11,과자,기성품,망고과자,0.224,50.0,g,개
12,과자,기성품,밀과자,0.207,70.0,g,개
13,과자,기성품,바나나과자,0.22,60.0,g,개
14,과자,기성품,보리과자,0.29,140.0,g,개
15,과자,기성품,복숭아과자,0.14,120.0,g,개
16,과자,기성품,블루베리과자,0.206,50.0,g,개
17,과자,기성품,사과과자,0.246,60.0,g,개
18,과자,기성품,아몬드과자,0.244,70.0,g,개
19,과자,기성품,야채크래커,0.104,100.0,g,개
20,과자,기성품,오곡과자,0.16,80.0,g,개
21,과자,기성품,오렌지과자,0.243,80.0,g,개
22,과자,기성품,옥수수과자,0.133,80.0,g,개
23,과자,기성품,올리브과자,0.106,90.0,g,개
24,과자,기성품,유자과자,0.283,70.0,g,개
25,과자,기성품,잣과자,0.146,40.0,g,개
26,과자,기성품,초코과자,0.294,80.0,g,개
27,과자,기성품,치즈과자,0.138,70.0,g,개
28,과자,기성품,카라멜과자,0.26,70.0,g,개
29,과자,기성품,코코넛과자,0.241,90.0,g,개
30,과자,기성품,콩과자,0.169,80.0,g,개
31,과자,기성품,크랜베리과자,0.28,100.0,g,개
32,과자,기성품,파이,0.195,80.0,g,개
33,과자,기성품,한라봉과자,0.23,70.0,g,개
34,과자,기성품,헤이즐넛과자,0.372,80.0,g,개
35,과자,기성품,호두과자,0.241,70.0,g,개
36,과자,기성품,호박과자,0.174,60.0,g,개
37,과자,기성품,홍차과자,0.227,40.0,g,개
38,과자,기성품,흑미과자,0.16,50.0,g,개
39,과자,발효유,버터쿠키,0.02,100.0,g,개
40,과자,발효유,비스킷,0.43,100.0,g,개
41,과자,발효유,치즈과자,0.188,50.0,g,개
42,과자,시리얼,견과시리얼,0.24,30.0,g,그릇
43,과자,시리얼,곡물시리얼,0.281,30.0,g,그릇
44,과자,시리얼,과일시리얼,0.4,30.0,g,그릇
45,과자,시리얼,그래놀라,0.237,30.0,g,그릇
46,과자,시리얼,기타시리얼,0.246,30.0,g,그릇
47,과자,시리얼,초콜릿시리얼,0.353,30.0,g,그릇
48,과자,시리얼,콘플레이크,0.218,30.0,g,그릇
49,과자,시리얼,쿠키시리얼,0.4,30.0,g,그릇
50,과자,전통과자,건빵,0.176,110.0,g,개
51,과자,전통과자,쌀과자,0.178,70.0,g,개
52,과자,전통과자,약과,0.181,190.0,g,개
53,과자,전통과자,월병,0.275,120.0,g,개
54,과자,전통과자,전병,0.369,90.0,g,개
55,과자,쿠키,견과쿠키,0.226,70.0,g,개
56,과자,쿠키,곡물쿠키,0.22,70.0,g,개
57,과자,쿠키,기타과일쿠키,0.229,60.0,g,개
58,과자,쿠키,녹차쿠키,0.242,80.0,g,개
59,과자,쿠키,땅콩쿠키,0.241,90.0,g,개
60,과자,쿠키,레몬쿠키,0.211,90.0,g,개
61,과자,쿠키,머랭쿠키,0.569,40.0,g,개
62,과자,쿠키,버터쿠키,0.285,110.0,g,개
63,과자,쿠키,블루베리쿠키,0.252,60.0,g,개
64,과자,쿠키,비스킷,0.239,100.0,g,개
65,과자,쿠키,사과쿠키,0.294,80.0,g,개
66,과자,쿠키,야채쿠키,0.212,60.0,g,개
67,과자,쿠키,오레오쿠키,0.398,70.0,g,개
68,과자,쿠키,옥수수쿠키,0.248,60.0,g,개
69,과자,쿠키,초콜릿쿠키,0.276,70.0,g,개
70,과자,쿠키,치즈쿠키,0.191,70.0,g,개
71,과자,쿠키,카라멜쿠키,0.294,90.0,g,개
72,과자,쿠키,코코넛쿠키,0.215,70.0,g,개
73,과자,쿠키,통밀쿠키,0.261,80.0,g,개
74,과자,쿠키,한라봉쿠키,0.21,60.0,g,개
75,과자,쿠키,홍차쿠키,0.107,50.0,g,개
76,과자,쿠키,후추쿠키,0.3,10.0,g,개
77,과자,팝콘,갈릭팝콘,0.104,60.0,g,봉지
78,과자,팝콘,과일팝콘,0.328,50.0,g,봉지
79,과자,팝콘,버터팝콘,0.312,60.0,g,봉지
80,과자,팝콘,솔트팝콘,0.267,200.0,g,봉지
81,과자,팝콘,어니언팝콘,0.194,80.0,g,봉지
82,과자,팝콘,인절미팝콘,0.183,120.0,g,봉지
83,과자,팝콘,초콜릿팝콘,0.41,40.0,g,봉지
84,과자,팝콘,치즈팝콘,0.26,60.0,g,봉지
85,과자,팝콘,카라멜팝콘,0.349,100.0,g,봉지
86,과자,팝콘,콘소메팝콘,0.036,110.0,g,봉지
87,떡·견과류,견과류,견과파우더,0.091,100.0,g,개
88,떡·견과류,견과류,땅콩,0.237,90.0,g,개
89,떡·견과류,견과류,마카다미아,0.048,100.0,g,개
90,떡·견과류,견과류,밤,0.104,100.0,g,개
91,떡·견과류,견과류,아몬드,0.388,100.0,g,개
92,떡·견과류,견과류,피스타치오,0.064,100.0,g,개
93,떡·견과류,견과류,호두,0.112,80.0,g,개
94,떡·견과류,떡,기타떡,0.098,210.0,g,개
95,떡·견과류,떡,찹쌀떡,0.208,80.0,g,개
96,떡·견과류,떡,치즈떡,0.057,520.0,g,개
97,베이커리,간식빵,감자빵,0.057,50.0,g,개
98,베이커리,간식빵,경주빵,0.479,50.0,g,개
99,베이커리,간식빵,고구마빵,0.129,50.0,g,개
100,베이커리,간식빵,고로케,0.058,50.0,g,개
101,베이커리,간식빵,깨찰빵,0.08,50.0,g,개
102,베이커리,간식빵,꽈배기,0.138,50.0,g,개
103,베이커리,간식빵,도넛,0.188,50.0,g,개
104,베이커리,간식빵,롤,0.159,50.0,g,개
105,베이커리,간식빵,만쥬,0.283,50.0,g,개
106,베이커리,간식빵,맘모스,0.22,50.0,g,개
107,베이커리,간식빵,매화빵,0.443,50.0,g,개
108,베이커리,간식빵,메론빵,0.205,50.0,g,개
109,베이커리,간식빵,모카빵,0.119,50.0,g,개
110,베이커리,간식빵,밀빵,0.148,50.0,g,개
111,베이커리,간식빵,밤빵,0.211,50.0,g,개
112,베이커리,간식빵,번,0.097,50.0,g,개
113,베이커리,간식빵,볼,0.156,50.0,g,개
114,베이커리,간식빵,붕어빵,0.19,50.0,g,개
115,베이커리,간식빵,브리오슈,0.134,50.0,g,개
116,베이커리,간식빵,샌드,0.128,50.0,g,개
117,베이커리,간식빵,소라빵,0.175,50.0,g,개
118,베이커리,간식빵,소보루,0.177,50.0,g,개
119,베이커리,간식빵,소시지빵,0.078,50.0,g,개
120,베이커리,간식빵,슈,0.109,50.0,g,개
121,베이커리,간식빵,스콘,0.139,50.0,g,개
122,베이커리,간식빵,쌀빵,0.103,50.0,g,개
123,베이커리,간식빵,앙금빵,0.174,50.0,g,개
124,베이커리,간식빵,에그데니쉬,0.103,50.0,g,개
125,베이커리,간식빵,옥수수빵,0.162,50.0,g,개
126,베이커리,간식빵,유자빵,0.224,50.0,g,개
127,베이커리,간식빵,찐빵,0.126,50.0,g,개
128,베이커리,간식빵,찰떡빵,0.157,50.0,g,개
129,베이커리,간식빵,찰보리빵,0.175,50.0,g,개
130,베이커리,간식빵,치즈빵,0.106,50.0,g,개
131,베이커리,간식빵,카스타드,0.193,50.0,g,개
132,베이커리,간식빵,카스테라,0.295,50.0,g,개
133,베이커리,간식빵,커피빵,0.228,50.0,g,개
134,베이커리,간식빵,크레이,0.21,50.0,g,개
135,베이커리,간식빵,크레페,0.308,50.0,g,개
136,베이커리,간식빵,크루와상,0.099,50.0,g,개
137,베이커리,간식빵,크림빵,0.159,50.0,g,개
138,베이커리,간식빵,타르트,0.173,50.0,g,개
139,베이커리,간식빵,트위스트,0.168,50.0,g,개
140,베이커리,간식빵,파니니,0.042,50.0,g,개
141,베이커리,간식빵,팥빵,0.169,50.0,g,개
142,베이커리,간식빵,페스츄리,0.087,50.0,g,개
143,베이커리,간식빵,프레즐,0.077,50.0,g,개
144,베이커리,간식빵,피자빵,0.061,50.0,g,개
145,베이커리,간식빵,호빵,0.144,50.0,g,개
146,베이커리,간식빵,효모빵,0.068,50.0,g,개
147,베이커리,디저트,까눌레,0.259,50.0,g,개
148,베이커리,디저트,다쿠아즈,0.353,50.0,g,개
149,베이커리,디저트,마들렌,0.263,50.0,g,개
150,베이커리,디저트,마쉬멜로우,0.67,50.0,g,개
151,베이커리,디저트,마카롱,0.377,50.0,g,개
152,베이커리,디저트,머핀,0.223,50.0,g,개
153,베이커리,디저트,모나카,0.393,50.0,g,개
154,베이커리,디저트,무스,0.201,50.0,g,개
155,베이커리,디저트,브라우니,0.292,50.0,g,개
156,베이커리,디저트,빨미까레,0.18,50.0,g,개
157,베이커리,디저트,쇼콜라,0.2,50.0,g,개
158,베이커리,디저트,수플레,0.148,50.0,g,개
159,베이커리,디저트,앙버터,0.127,50.0,g,개
160,베이커리,디저트,와플,0.194,50.0,g,개
161,베이커리,디저트,크럼블,0.159,50.0,g,개
162,베이커리,디저트,크로플,0.112,50.0,g,개
163,베이커리,디저트,티라미수,0.183,50.0,g,개
164,베이커리,디저트,파이,0.17,50.0,g,개
165,베이커리,디저트,팬케이크,0.229,50.0,g,개
166,베이커리,디저트,허니브레드,0.078,50.0,g,개
167,베이커리,디저트,호떡,0.186,50.0,g,개
168,베이커리,디저트,휘낭시에,0.318,50.0,g,개
169,베이커리,샌드위치,샌드위치,0.057,170.0,g,개
170,베이커리,식사빵,난,0.113,90.0,g,개
171,베이커리,식사빵,또띠아,0.033,120.0,g,개
172,베이커리,식사빵,모닝빵,0.078,90.0,g,개
173,베이커리,식사빵,바게트,0.076,150.0,g,개
174,베이커리,식사빵,베이글,0.076,110.0,g,개
